Sat May  4 23:18:08 2024 Fold 0, Epoch 1, lr: 0.0002300, train loss: 0.45734, valid loss: 0.48101, metric: 0.481010.
Sat May  4 23:26:49 2024 Fold 0, Epoch 2, lr: 0.0002249, train loss: 0.44793, valid loss: 0.49342, metric: 0.493420.
Sat May  4 23:35:27 2024 Fold 0, Epoch 3, lr: 0.0002102, train loss: 0.44146, valid loss: 0.45879, metric: 0.458792.
Sat May  4 23:44:04 2024 Fold 0, Epoch 4, lr: 0.0001873, train loss: 0.43728, valid loss: 0.44565, metric: 0.445654.
Sat May  4 23:52:57 2024 Fold 0, Epoch 5, lr: 0.0001585, train loss: 0.42804, valid loss: 0.46738, metric: 0.467383.
Sun May  5 00:01:35 2024 Fold 0, Epoch 6, lr: 0.0001265, train loss: 0.42124, valid loss: 0.50847, metric: 0.508469.
Sun May  5 00:10:13 2024 Fold 0, Epoch 7, lr: 0.0000945, train loss: 0.41766, valid loss: 0.43774, metric: 0.437744.
Sun May  5 00:18:51 2024 Fold 0, Epoch 8, lr: 0.0000657, train loss: 0.40840, valid loss: 0.45508, metric: 0.455079.
Sun May  5 00:27:29 2024 Fold 0, Epoch 9, lr: 0.0000428, train loss: 0.39841, valid loss: 0.43571, metric: 0.435706.
Sun May  5 00:36:07 2024 Fold 0, Epoch 10, lr: 0.0000281, train loss: 0.39672, valid loss: 0.43083, metric: 0.430825.
Sun May  5 00:45:07 2024 Fold 1, Epoch 1, lr: 0.0002300, train loss: 0.45579, valid loss: 0.47250, metric: 0.472500.
Sun May  5 00:53:55 2024 Fold 1, Epoch 2, lr: 0.0002249, train loss: 0.44889, valid loss: 0.47475, metric: 0.474748.
Sun May  5 01:02:33 2024 Fold 1, Epoch 3, lr: 0.0002102, train loss: 0.44325, valid loss: 0.50903, metric: 0.509027.
Sun May  5 01:11:11 2024 Fold 1, Epoch 4, lr: 0.0001873, train loss: 0.43961, valid loss: 0.43681, metric: 0.436808.
Sun May  5 01:19:49 2024 Fold 1, Epoch 5, lr: 0.0001585, train loss: 0.43197, valid loss: 0.43485, metric: 0.434854.
Sun May  5 01:28:27 2024 Fold 1, Epoch 6, lr: 0.0001265, train loss: 0.42659, valid loss: 0.42880, metric: 0.428804.
Sun May  5 01:37:04 2024 Fold 1, Epoch 7, lr: 0.0000945, train loss: 0.42158, valid loss: 0.39416, metric: 0.394162.
Sun May  5 01:45:40 2024 Fold 1, Epoch 8, lr: 0.0000657, train loss: 0.40607, valid loss: 0.42820, metric: 0.428200.
Sun May  5 01:54:18 2024 Fold 1, Epoch 9, lr: 0.0000428, train loss: 0.40737, valid loss: 0.40900, metric: 0.409000.
Sun May  5 02:02:55 2024 Fold 1, Epoch 10, lr: 0.0000281, train loss: 0.39830, valid loss: 0.40558, metric: 0.405584.
