Thu May 16 22:18:40 2024 Fold 0, Epoch 1, lr: 0.0002300, train loss: nan, valid loss: nan, metric: nan.
Thu May 16 22:55:10 2024 Fold 0, Epoch 2, lr: 0.0002249, train loss: nan, valid loss: nan, metric: nan.
Thu May 16 23:37:10 2024 Fold 0, Epoch 1, lr: 0.0002300, train loss: 0.63556, valid loss: 0.59639, metric: 0.596391.
Fri May 17 00:14:29 2024 Fold 0, Epoch 2, lr: 0.0002249, train loss: nan, valid loss: nan, metric: nan.
Fri May 17 00:50:51 2024 Fold 0, Epoch 3, lr: 0.0002102, train loss: nan, valid loss: nan, metric: nan.
Fri May 17 01:27:09 2024 Fold 0, Epoch 4, lr: 0.0001873, train loss: nan, valid loss: nan, metric: nan.
Fri May 17 02:03:27 2024 Fold 0, Epoch 5, lr: 0.0001585, train loss: nan, valid loss: nan, metric: nan.
Fri May 17 02:39:38 2024 Fold 0, Epoch 6, lr: 0.0001265, train loss: nan, valid loss: nan, metric: nan.
Fri May 17 03:15:59 2024 Fold 0, Epoch 7, lr: 0.0000945, train loss: nan, valid loss: nan, metric: nan.
Fri May 17 03:52:21 2024 Fold 0, Epoch 8, lr: 0.0000657, train loss: nan, valid loss: nan, metric: nan.
Fri May 17 04:28:43 2024 Fold 0, Epoch 9, lr: 0.0000428, train loss: nan, valid loss: nan, metric: nan.
Fri May 17 05:05:06 2024 Fold 0, Epoch 10, lr: 0.0000281, train loss: nan, valid loss: nan, metric: nan.
Fri May 17 05:42:08 2024 Fold 1, Epoch 1, lr: 0.0002300, train loss: 0.70057, valid loss: 0.64243, metric: 0.642425.
Fri May 17 06:19:11 2024 Fold 1, Epoch 2, lr: 0.0002249, train loss: 0.58963, valid loss: 0.59182, metric: 0.591821.
Fri May 17 06:56:13 2024 Fold 1, Epoch 3, lr: 0.0002102, train loss: 0.52192, valid loss: 0.58921, metric: 0.589209.
Fri May 17 07:33:18 2024 Fold 1, Epoch 4, lr: 0.0001873, train loss: 0.50012, valid loss: 0.57381, metric: 0.573806.
Fri May 17 08:10:24 2024 Fold 1, Epoch 5, lr: 0.0001585, train loss: 0.49147, valid loss: 0.57337, metric: 0.573366.
Fri May 17 08:47:31 2024 Fold 1, Epoch 6, lr: 0.0001265, train loss: 0.49127, valid loss: 0.57062, metric: 0.570616.
Fri May 17 09:24:31 2024 Fold 1, Epoch 7, lr: 0.0000945, train loss: 0.49031, valid loss: 0.57122, metric: 0.571217.
Fri May 17 10:01:32 2024 Fold 1, Epoch 8, lr: 0.0000657, train loss: 0.49100, valid loss: 0.57128, metric: 0.571280.
Fri May 17 10:38:30 2024 Fold 1, Epoch 9, lr: 0.0000428, train loss: 0.49034, valid loss: 0.57136, metric: 0.571356.
Fri May 17 11:15:32 2024 Fold 1, Epoch 10, lr: 0.0000281, train loss: 0.49007, valid loss: 0.57072, metric: 0.570717.
Fri May 17 11:52:52 2024 Fold 2, Epoch 1, lr: 0.0002300, train loss: nan, valid loss: nan, metric: nan.
Fri May 17 12:30:00 2024 Fold 2, Epoch 2, lr: 0.0002249, train loss: nan, valid loss: nan, metric: nan.
Fri May 17 13:08:47 2024 Fold 2, Epoch 1, lr: 0.0230000, train loss: nan, valid loss: nan, metric: nan.
Fri May 17 18:12:32 2024 Fold 2, Epoch 1, lr: 0.0000230, train loss: 0.65651, valid loss: 0.65132, metric: 0.651317.
Fri May 17 18:49:35 2024 Fold 2, Epoch 2, lr: 0.0000230, train loss: 0.62675, valid loss: 0.64674, metric: 0.646735.
