               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16935,            0.022096,                   0,           0.0022817,             0.78376,            0.026845,           0.0059906,             0.14334,           0.0099052,                   0,            0.070146,           0.0033172,           0.0033172
                   1,             0.12855,            0.016389,                   0,            0.015383,             0.70609,            0.058811,            0.015219,             0.13756,           0.0091954,                   0,            0.040065,             0.00657,             0.00657
                   2,              0.1252,            0.015331,                   0,            0.026565,             0.10847,            0.011375,           0.0026078,             0.14504,             0.01076,                   0,            0.009904,           0.0097422,           0.0097422
                   3,             0.12535,            0.015127,                   0,             0.12423,             0.16305,            0.055363,            0.014464,             0.14468,           0.0094843,                   0,            0.009637,            0.009637,            0.009637
                   4,             0.12129,            0.014802,                   0,            0.088974,             0.12806,            0.048042,            0.010174,             0.13992,           0.0095524,                   0,            0.009637,            0.009637,            0.009637
                   5,             0.11742,            0.014518,                   0,             0.15289,             0.15955,            0.079892,            0.020762,             0.13553,           0.0097969,                   0,            0.009516,            0.009516,            0.009516
                   6,             0.11344,            0.014633,                   0,             0.22272,             0.19664,             0.11037,            0.026819,             0.13657,           0.0094664,                   0,            0.009395,            0.009395,            0.009395
                   7,             0.11288,            0.014389,                   0,             0.12065,             0.14556,            0.066129,            0.018105,             0.13885,            0.010253,                   0,            0.009274,            0.009274,            0.009274
                   8,             0.11075,            0.014381,                   0,             0.22238,             0.15745,             0.10075,            0.027265,             0.13467,           0.0097149,                   0,            0.009153,            0.009153,            0.009153
                   9,             0.10824,            0.013918,                   0,             0.13245,             0.13506,            0.054327,            0.014619,             0.14107,            0.010278,                   0,            0.009032,            0.009032,            0.009032
                  10,             0.10697,            0.013909,                   0,             0.14991,             0.11337,               0.053,            0.012595,             0.14111,            0.010503,                   0,            0.008911,            0.008911,            0.008911
                  11,             0.10528,            0.013946,                   0,             0.17649,             0.18265,             0.10122,            0.026882,             0.13439,           0.0097683,                   0,             0.00879,             0.00879,             0.00879
                  12,             0.10363,            0.013733,                   0,             0.12179,            0.083975,            0.045496,            0.010227,             0.14566,             0.01174,                   0,            0.008669,            0.008669,            0.008669
                  13,             0.10191,            0.013629,                   0,             0.18233,             0.14486,            0.078687,            0.020775,             0.13422,             0.01044,                   0,            0.008548,            0.008548,            0.008548
                  14,             0.10049,            0.013423,                   0,             0.18597,             0.18404,             0.10099,            0.026363,             0.13593,           0.0095516,                   0,            0.008427,            0.008427,            0.008427
                  15,            0.098999,            0.013689,                   0,             0.24516,             0.19384,             0.12265,            0.035273,             0.13325,           0.0097292,                   0,            0.008306,            0.008306,            0.008306
                  16,             0.09674,            0.013125,                   0,             0.24197,             0.19034,             0.11712,            0.032075,             0.13491,            0.010178,                   0,            0.008185,            0.008185,            0.008185
                  17,            0.096562,            0.013255,                   0,             0.17846,             0.13716,            0.075401,            0.018722,                0.14,            0.010959,                   0,            0.008064,            0.008064,            0.008064
                  18,            0.095181,            0.013182,                   0,             0.28393,             0.16725,             0.12044,            0.030203,              0.1378,           0.0095418,                   0,            0.007943,            0.007943,            0.007943
                  19,            0.094228,            0.013018,                   0,             0.20084,             0.11966,             0.07343,            0.018514,             0.13843,            0.013361,                   0,            0.007822,            0.007822,            0.007822
                  20,            0.092479,            0.013015,                   0,             0.25602,             0.25052,             0.14074,            0.038015,             0.13495,           0.0096618,                   0,            0.007701,            0.007701,            0.007701
                  21,            0.091089,            0.012748,                   0,             0.22158,             0.20014,             0.13087,            0.032659,             0.13669,           0.0092282,                   0,             0.00758,             0.00758,             0.00758
                  22,            0.091477,            0.012666,                   0,             0.29713,             0.20084,             0.15082,            0.041929,             0.13326,            0.010596,                   0,            0.007459,            0.007459,            0.007459
                  23,            0.089085,            0.012595,                   0,             0.23784,            0.088174,            0.071617,            0.018741,              0.1407,             0.01165,                   0,            0.007338,            0.007338,            0.007338
                  24,            0.088135,            0.012501,                   0,              0.2581,             0.24493,              0.1583,            0.041759,              0.1372,           0.0097889,                   0,            0.007217,            0.007217,            0.007217
                  25,            0.086874,            0.012361,                   0,             0.16349,             0.17775,             0.08775,            0.023563,             0.13952,            0.010233,                   0,            0.007096,            0.007096,            0.007096
                  26,            0.085791,            0.012216,                   0,             0.23286,             0.19454,             0.13843,            0.039067,             0.13834,            0.010196,                   0,            0.006975,            0.006975,            0.006975
                  27,            0.084183,            0.012101,                   0,             0.27408,             0.19103,             0.14762,             0.04515,             0.14118,            0.010037,                   0,            0.006854,            0.006854,            0.006854
                  28,            0.084358,            0.012177,                   0,             0.28516,             0.20364,             0.16314,            0.042732,             0.13818,           0.0098464,                   0,            0.006733,            0.006733,            0.006733
                  29,            0.082689,            0.011902,                   0,             0.25389,             0.20644,             0.12968,            0.034545,             0.13619,            0.010035,                   0,            0.006612,            0.006612,            0.006612
                  30,            0.082743,            0.012054,                   0,             0.29068,             0.17635,             0.14419,            0.038796,             0.13754,             0.01035,                   0,            0.006491,            0.006491,            0.006491
                  31,            0.081556,            0.011976,                   0,             0.32144,             0.22883,             0.16735,            0.047658,             0.13946,            0.009957,                   0,             0.00637,             0.00637,             0.00637
                  32,            0.080785,             0.01153,                   0,             0.28126,             0.20538,             0.13307,            0.038506,             0.13895,            0.010005,                   0,            0.006249,            0.006249,            0.006249
                  33,             0.07872,            0.011581,                   0,             0.24687,             0.20294,              0.1246,            0.036427,             0.13722,            0.010555,                   0,            0.006128,            0.006128,            0.006128
                  34,            0.078773,            0.011723,                   0,             0.22936,             0.18824,             0.12227,             0.03144,             0.14024,            0.010387,                   0,            0.006007,            0.006007,            0.006007
                  35,            0.077681,            0.011457,                   0,             0.29679,             0.20434,             0.14286,             0.03845,             0.13923,            0.010629,                   0,            0.005886,            0.005886,            0.005886
