row_id,fractured
1.2.826.0.1.3680043.22327_C1,0.096731216
1.2.826.0.1.3680043.22327_C2,0.12805839
1.2.826.0.1.3680043.22327_C3,0.10404269
1.2.826.0.1.3680043.22327_C4,0.10057863
1.2.826.0.1.3680043.22327_C5,0.109479494
1.2.826.0.1.3680043.22327_C6,0.18249822
1.2.826.0.1.3680043.22327_C7,0.23820113
1.2.826.0.1.3680043.22327_patient_overall,0.562196
1.2.826.0.1.3680043.25399_C1,0.09327008
1.2.826.0.1.3680043.25399_C2,0.13586871
1.2.826.0.1.3680043.25399_C3,0.10073485
1.2.826.0.1.3680043.25399_C4,0.10268687
1.2.826.0.1.3680043.25399_C5,0.09760598
1.2.826.0.1.3680043.25399_C6,0.16342078
1.2.826.0.1.3680043.25399_C7,0.19287391
1.2.826.0.1.3680043.25399_patient_overall,0.5619745
1.2.826.0.1.3680043.5876_C1,0.09840658
1.2.826.0.1.3680043.5876_C2,0.16843323
1.2.826.0.1.3680043.5876_C3,0.11581387
1.2.826.0.1.3680043.5876_C4,0.112479754
1.2.826.0.1.3680043.5876_C5,0.12647714
1.2.826.0.1.3680043.5876_C6,0.22520798
1.2.826.0.1.3680043.5876_C7,0.2708716
1.2.826.0.1.3680043.5876_patient_overall,0.56195337
